response_key,response_time_min,mitigation_method,outcome,security_tools_used
1,164,Containment,Failure,Firewall
2,64,Reset Credentials,Success,Endpoint Detection
3,87,Quarantine,Success,Firewall
4,23,Patch,Failure,MFA
5,129,Containment,Failure,Firewall
6,160,Quarantine,Failure,VPN
7,74,Patch,Success,Antivirus
8,173,Quarantine,Failure,WAF
9,144,Quarantine,Failure,WAF
10,137,Quarantine,Success,Firewall
11,136,Quarantine,Failure,Firewall
12,38,Quarantine,Success,SIEM
13,178,Quarantine,Success,Firewall
14,134,Patch,Success,Endpoint Detection
15,57,Patch,Success,IDS
16,178,Reset Credentials,Success,VPN
17,109,Block IP,Success,IDS
18,86,Containment,Success,Endpoint Detection
19,58,Block IP,Failure,VPN
20,112,Containment,Failure,IDS
21,159,Patch,Failure,WAF
22,75,Containment,Success,MFA
23,153,Containment,Failure,MFA
24,124,Reset Credentials,Success,Antivirus
25,166,Quarantine,Success,IDS
26,161,Patch,Failure,MFA
27,17,Reset Credentials,Failure,MFA
28,180,Reset Credentials,Success,Endpoint Detection
29,74,Patch,Success,Endpoint Detection
30,35,Containment,Failure,Endpoint Detection
31,180,Block IP,Failure,Firewall
32,153,Containment,Success,VPN
33,26,Containment,Success,MFA
34,155,Block IP,Failure,WAF
35,98,Patch,Success,Firewall
36,155,Quarantine,Success,Endpoint Detection
37,44,Quarantine,Failure,Endpoint Detection
38,12,Patch,Failure,SIEM
39,156,Patch,Failure,WAF
40,4,Block IP,Failure,Antivirus
41,177,Block IP,Success,MFA
42,155,Containment,Success,VPN
43,64,Patch,Failure,Firewall
44,54,Patch,Success,Antivirus
45,30,Reset Credentials,Failure,MFA
46,27,Block IP,Success,WAF
47,158,Reset Credentials,Failure,Firewall
48,50,Reset Credentials,Success,Antivirus
49,88,Reset Credentials,Success,VPN
50,61,Patch,Failure,Antivirus
51,55,Quarantine,Success,Antivirus
52,61,Reset Credentials,Failure,Antivirus
53,149,Reset Credentials,Success,SIEM
54,94,Quarantine,Failure,IDS
55,115,Containment,Failure,IDS
56,60,Block IP,Success,Endpoint Detection
57,105,Block IP,Failure,VPN
58,122,Block IP,Success,Antivirus
59,5,Reset Credentials,Failure,SIEM
60,25,Quarantine,Failure,Antivirus
61,70,Patch,Success,Firewall
62,16,Block IP,Failure,SIEM
63,74,Quarantine,Failure,Firewall
64,124,Patch,Success,SIEM
65,86,Reset Credentials,Success,Firewall
66,33,Patch,Failure,WAF
67,131,Quarantine,Failure,MFA
68,29,Containment,Failure,IDS
69,17,Patch,Failure,VPN
70,142,Reset Credentials,Success,WAF
71,12,Reset Credentials,Success,SIEM
72,16,Block IP,Failure,Antivirus
73,87,Patch,Success,WAF
74,118,Patch,Success,Firewall
75,178,Patch,Failure,SIEM
76,176,Quarantine,Success,VPN
77,65,Containment,Failure,MFA
78,84,Quarantine,Failure,Antivirus
79,85,Containment,Failure,Antivirus
80,92,Block IP,Failure,VPN
81,153,Containment,Success,IDS
82,178,Containment,Success,WAF
83,110,Patch,Success,VPN
84,100,Containment,Failure,Firewall
85,123,Quarantine,Success,Endpoint Detection
86,10,Quarantine,Success,Endpoint Detection
87,51,Containment,Failure,Firewall
88,135,Patch,Failure,VPN
