time_key,timestamp,hour,day,month,quarter,year
1,2024-04-03 11:13:15.083419,11,Wednesday,April,2,2024
2,2024-02-03 20:51:56.083463,20,Saturday,February,1,2024
3,2024-07-19 18:40:05.083472,18,Friday,July,3,2024
4,2023-12-08 00:54:17.083478,0,Friday,December,4,2023
5,2024-07-23 05:38:20.083483,5,Tuesday,July,3,2024
6,2024-08-19 19:15:30.083491,19,Monday,August,3,2024
7,2024-05-09 18:29:57.083499,18,Thursday,May,2,2024
8,2024-08-12 17:02:28.083508,17,Monday,August,3,2024
9,2024-09-01 10:41:31.083515,10,Sunday,September,3,2024
10,2024-05-08 06:10:28.083521,6,Wednesday,May,2,2024
11,2023-09-23 05:23:23.083527,5,Saturday,September,3,2023
12,2024-04-26 18:05:58.083532,18,Friday,April,2,2024
13,2023-09-09 10:41:34.083537,10,Saturday,September,3,2023
14,2024-05-04 09:13:29.083544,9,Saturday,May,2,2024
15,2024-06-02 15:15:28.083549,15,Sunday,June,2,2024
16,2024-04-25 02:43:01.083554,2,Thursday,April,2,2024
17,2024-08-23 20:56:03.083559,20,Friday,August,3,2024
18,2024-06-02 06:29:41.083566,6,Sunday,June,2,2024
19,2024-08-21 07:40:32.083571,7,Wednesday,August,3,2024
20,2023-12-25 10:05:12.083577,10,Monday,December,4,2023
21,2024-08-24 04:21:07.083582,4,Saturday,August,3,2024
22,2024-08-19 06:58:32.083588,6,Monday,August,3,2024
23,2023-12-06 08:05:43.083593,8,Wednesday,December,4,2023
24,2024-04-29 17:12:48.083605,17,Monday,April,2,2024
25,2024-03-06 23:38:55.083610,23,Wednesday,March,1,2024
26,2024-01-09 08:30:45.083618,8,Tuesday,January,1,2024
27,2024-01-19 22:10:27.083623,22,Friday,January,1,2024
28,2024-06-28 18:36:50.083629,18,Friday,June,2,2024
29,2024-05-10 22:28:23.083635,22,Friday,May,2,2024
30,2024-08-12 06:24:00.083639,6,Monday,August,3,2024
31,2024-07-27 05:28:50.083642,5,Saturday,July,3,2024
32,2024-04-06 15:40:50.083645,15,Saturday,April,2,2024
33,2024-01-07 20:24:38.083648,20,Sunday,January,1,2024
34,2024-09-03 07:30:07.083652,7,Tuesday,September,3,2024
35,2023-11-14 10:56:00.083655,10,Tuesday,November,4,2023
36,2023-11-24 10:30:41.083658,10,Friday,November,4,2023
37,2024-06-15 18:57:49.083661,18,Saturday,June,2,2024
38,2024-05-09 12:54:59.083665,12,Thursday,May,2,2024
39,2024-01-30 20:31:45.083668,20,Tuesday,January,1,2024
40,2024-03-21 07:37:00.083672,7,Thursday,March,1,2024
41,2024-03-27 15:13:53.083675,15,Wednesday,March,1,2024
42,2023-10-12 18:52:23.083679,18,Thursday,October,4,2023
43,2024-06-19 19:54:59.083682,19,Wednesday,June,2,2024
44,2024-04-27 06:54:18.083685,6,Saturday,April,2,2024
45,2023-09-12 10:41:44.083688,10,Tuesday,September,3,2023
46,2023-12-02 21:12:04.083691,21,Saturday,December,4,2023
47,2024-02-23 01:00:02.083694,1,Friday,February,1,2024
