incident_key,time_key,location_key,industry_key,attack_type,attack_severity,data_compromised_GB,attack_duration_min,response_time_min,outcome,TSI_score
1,1,1,1,Phishing,2,15.31,300,164,Failure,3.992633333333333
2,2,2,2,DDoS,10,65.05,242,64,Success,7.018166666666666
3,3,3,3,Zero-Day Exploit,7,48.99,120,87,Success,5.7197000000000005
4,4,4,4,SQL Injection,3,16.29,286,23,Failure,2.0720333333333336
5,5,5,3,Zero-Day Exploit,6,87.66,4,129,Failure,7.1798
6,6,6,2,Malware,5,78.29,290,160,Failure,7.015366666666667
7,7,5,5,Ransomware,4,40.04,171,74,Success,4.034533333333333
8,8,4,6,Brute Force,6,80.26,85,173,Failure,7.691133333333333
9,9,5,6,DDoS,3,44.34,229,144,Failure,4.9302
10,10,7,7,Cross-Site Scripting,2,9.15,102,137,Success,3.3578333333333332
11,11,8,2,DDoS,6,20.56,218,136,Failure,5.283466666666667
12,12,9,6,Ransomware,9,2.43,103,38,Success,4.306233333333333
13,13,4,2,Ransomware,5,67.52,296,178,Success,6.992266666666666
14,14,2,4,Brute Force,7,90.05,171,134,Success,7.7348333333333334
15,15,9,2,Phishing,3,45.25,190,57,Success,3.5075000000000003
16,16,6,8,Zero-Day Exploit,6,56.4,72,178,Success,7.058666666666667
17,17,9,1,SQL Injection,8,41.83,73,109,Success,6.271566666666667
18,18,2,2,Malware,4,61.73,107,86,Success,4.885233333333334
19,19,5,4,Zero-Day Exploit,2,2.1,223,58,Failure,1.8296666666666668
20,20,1,2,Ransomware,4,41.03,235,112,Failure,4.697566666666667
21,21,4,7,Brute Force,2,36.66,162,159,Failure,4.549799999999999
22,22,5,4,DDoS,5,44.45,194,75,Success,4.5835
23,23,9,3,Cross-Site Scripting,1,0.01,152,153,Failure,2.9503
24,24,7,2,Zero-Day Exploit,9,90.84,6,124,Success,8.391866666666667
25,25,9,6,Zero-Day Exploit,4,75.64,218,166,Success,6.635866666666667
26,26,10,6,Phishing,10,39.52,163,161,Failure,7.868933333333333
27,27,4,2,Ransomware,5,76.05,130,17,Failure,4.564833333333333
28,28,10,6,SQL Injection,8,10.74,97,180,Success,6.5222
29,29,5,4,Phishing,7,25.75,38,74,Success,4.805833333333333
30,30,3,3,Zero-Day Exploit,7,67.57,93,35,Failure,5.410433333333333
31,31,7,8,Brute Force,10,55.73,13,180,Failure,8.6719
32,32,7,7,Zero-Day Exploit,4,31.12,243,153,Success,5.0836
33,33,6,5,Phishing,5,19.33,244,26,Success,3.013233333333333
34,34,3,8,Zero-Day Exploit,3,65.34,57,155,Failure,5.743533333333334
35,35,9,5,Brute Force,10,18.21,97,98,Success,6.179633333333333
36,36,9,7,SQL Injection,9,12.44,251,155,Success,6.556533333333333
37,37,2,6,Ransomware,8,23.16,165,44,Failure,4.628133333333333
38,38,5,5,Zero-Day Exploit,4,93.88,80,12,Failure,4.6164
39,39,7,3,Brute Force,7,6.05,2,156,Failure,5.5815
40,40,4,6,Brute Force,2,60.09,183,4,Failure,2.669366666666667
41,41,8,5,Brute Force,4,40.49,221,177,Success,5.7646999999999995
42,42,6,5,SQL Injection,4,32.14,269,155,Success,5.1475333333333335
43,43,3,1,Ransomware,10,60.58,185,64,Failure,6.884066666666667
44,44,8,4,Malware,2,29.47,89,54,Success,2.5841
45,45,3,2,Brute Force,10,52.08,277,30,Failure,6.0624
46,46,4,7,Malware,5,39.1,94,27,Success,3.623
47,47,1,3,DDoS,9,1.76,299,158,Failure,6.286133333333334
48,48,5,3,Brute Force,9,9.55,186,50,Success,4.719833333333334
49,49,6,2,Cross-Site Scripting,4,21.5,39,88,Success,3.711666666666667
50,50,7,6,Cross-Site Scripting,6,50.03,2,61,Failure,4.917566666666667
51,51,1,6,Malware,9,58.72,66,55,Success,6.278266666666667
52,52,5,7,SQL Injection,10,49.75,150,61,Failure,6.509166666666666
53,53,9,3,Ransomware,9,53.08,44,149,Success,7.6757333333333335
54,54,2,1,Malware,1,42.03,298,94,Failure,3.227566666666667
55,55,7,7,Malware,9,46.66,157,115,Failure,6.9164666666666665
56,56,1,2,Zero-Day Exploit,4,15.25,153,60,Success,3.0575
57,57,2,6,Zero-Day Exploit,4,50.67,48,105,Failure,4.8701
58,58,9,2,Malware,8,76.48,144,122,Success,7.527733333333334
59,59,9,8,Brute Force,8,29.7,82,5,Failure,4.174333333333333
60,60,3,3,DDoS,8,20.17,173,25,Failure,4.221766666666667
61,61,7,5,Brute Force,9,15.84,72,70,Success,5.241866666666667
62,62,3,4,Ransomware,6,97.23,157,16,Failure,5.583566666666667
63,63,2,4,Malware,6,45.73,163,74,Failure,5.005233333333334
64,64,10,8,Zero-Day Exploit,1,56.8,166,124,Success,4.170666666666667
65,65,6,1,Phishing,1,48.71,74,86,Success,3.2946333333333335
